feature,importance,rank,cumul_pct
num__n_deficits_confirmed,0.7552668457390231,1,11.62
num__deficit_ratio,0.5544776130598782,2,20.15
num__RDEF3_v2,0.5033805382328572,3,27.9
cat__STYPE_LACS,0.482903529464871,4,35.33
num__RDEF6_v2,0.46365426130007964,5,42.46
num__RDEF5_v2,0.4580123482853385,6,49.51
num__RDEF4_v2,0.44316355083780773,7,56.33
num__RDEF1_v2,0.44037966849089677,8,63.1
num__RDEF4_uncertain,0.2541175568600656,9,67.01
cat__STYPE_POCS,0.18177012966478623,10,69.81
num__RDEF8_v2,0.18017524610089164,11,72.58
cat__STYPE_TACS,0.1665799105478369,12,75.14
cat__STYPE_PACS,0.1586665309934556,13,77.58
num__RDEF7_v2,0.13873566005493335,14,79.72
num__RDEF2_v2,0.12254983783523836,15,81.6
num__RDEF8_uncertain,0.11879980335079848,16,83.43
num__RDEF6_uncertain,0.10732245605793489,17,85.08
cat__RCT_Y,0.10233895463286506,18,86.66
cat__RCT_N,0.10233895463286487,19,88.23
num__RDEF7_uncertain,0.08832483217470333,20,89.59
num__RDELAY,0.08208695416008553,21,90.85
num__AGE,0.07590422807395152,22,92.02
num__RDEF5_uncertain,0.06949375169003802,23,93.09
num__n_deficits_uncertain,0.06796945562472946,24,94.14
num__RDEF2_uncertain,0.06282299137968551,25,95.1
num__RSBP,0.05940567071461009,26,96.02
cat__RVISINF_N,0.037030949255316865,27,96.59
cat__RVISINF_Y,0.037030949255316796,28,97.16
cat__RASP3_Y,0.031653771178503855,29,97.64
cat__RASP3_N,0.03165377117850385,30,98.13
cat__RATRIAL_N,0.019955052978769167,31,98.44
cat__RATRIAL_Y,0.01995505297876916,32,98.74
num__RDEF3_uncertain,0.014495294860002431,33,98.97
cat__SEX_F,0.012999495854416482,34,99.17
cat__SEX_M,0.012999495854416414,35,99.37
cat__RHEP24_Y,0.010699451601351287,36,99.53
cat__RHEP24_N,0.01069945160135126,37,99.7
cat__RSLEEP_Y,0.00601756750155,38,99.79
cat__RSLEEP_N,0.006017567501549613,39,99.88
cat__STYPE_OTH,0.0048462157503362385,40,99.96
num__RDEF1_uncertain,0.002820557086823485,41,100.0
