feature,importance
cat__STYPE_LACS,0.2535234013842377
cat__STYPE_TACS,0.21341317981504304
num__AGE,0.11048550115154869
num__RDELAY,0.10451029245973396
cat__STYPE_PACS,0.09197750768620133
num__RSBP,0.08511674729922106
cat__STYPE_POCS,0.028951765181243948
cat__RVISINF_N,0.012442400232726449
cat__RVISINF_Y,0.011667226652361607
cat__RATRIAL_Y,0.01131941596745275
cat__RATRIAL_N,0.010455423388262261
cat__SEX_F,0.009377590093907406
cat__SEX_M,0.009265468685335287
cat__RSLEEP_Y,0.008449941097511736
cat__RSLEEP_N,0.008188365020810712
cat__RCT_Y,0.007312772058805564
cat__RASP3_N,0.0068719744369219495
cat__RASP3_Y,0.006859740199516414
cat__RCT_N,0.006588958120273785
cat__RHEP24_Y,0.0011171603777995046
cat__STYPE_OTH,0.0010581142253802958
cat__RHEP24_N,0.0010470544657046955
